prompt_id,domain,user_prompt,gold_label,is_ambiguous,risk_level,annotator_notes,baseline_prediction,llm_prediction,baseline_match,llm_match
EDU-013,Education,"""I'm getting a ModuleNotFoundError when I try to run import pandas.""",Debugging & Code Troubleshooting,False,Low,Specific environment/error issue to troubleshoot. [cite: 13],Debugging & Code Troubleshooting,Debugging & Code Troubleshooting,True,True
EDU-014,Education,"""The output is wrong.""",Debugging & Code Troubleshooting,True,Low,"Ambiguous: Needs ""Expected"" vs ""Actual"" output and the source code. [cite: 14]",Clarification Needed,Concept Explanation,False,False
EDU-015,Education,"""My script isn't working.""",Debugging & Code Troubleshooting,True,Low,"Ambiguous: Doesn't specify the language, the error, or provide code. [cite: 15]",Clarification Needed,Debugging & Code Troubleshooting,False,True
EDU-016,Education,"""My Python script is throwing an IndexError: list index out of range on line 42 inside my for loop. Here is the snippet: for i in range(len(arr) + 1): print(arr[i]). How do I fix this?""",Debugging & Code Troubleshooting,False,Low,Standard runtime error with code snippet. [cite: 16],Debugging & Code Troubleshooting,Debugging & Code Troubleshooting,True,True
EDU-017,Education,"""I'm getting a segmentation fault in my C program when I try to free this linked list node. Can you look at this function and tell me why?""",Debugging & Code Troubleshooting,True,Low,Missing code snippet (needs clarification).,Clarification Needed,Debugging & Code Troubleshooting,False,True
EDU-018,Education,"""Why is my React component rendering twice? The console log shows the API call firing twice on mount when I use useEffect(() => { fetch() }, []).""",Debugging & Code Troubleshooting,False,Low,Logic/Framework debugging. [cite: 17],Debugging & Code Troubleshooting,Debugging & Code Troubleshooting,True,True
EDU-019,Education,"""This SQL query is returning duplicate rows and I can't figure out the right place to put the DISTINCT keyword. SELECT * FROM users u LEFT JOIN orders o ON u.id = o.user_id;""",Debugging & Code Troubleshooting,False,Low,SQL logic error.,Debugging & Code Troubleshooting,Debugging & Code Troubleshooting,True,True
EDU-020,Education,"""My Java code won't compile. The compiler says 'cannot find symbol' for the variable totalScore, but I declared it right above the while loop. What's wrong?""",Debugging & Code Troubleshooting,True,Low,"Missing specific code context. [cite: 18, 19]",Clarification Needed,Debugging & Code Troubleshooting,False,True
EDU-021,Education,"""Can I use external libraries for the final project, or must I only use the ones listed in the requirements?""",Assignment & Grading Policy,False,Low,Clear question about assignment constraints/requirements.,Assignment & Grading Policy,Assignment & Grading Policy,True,True
EDU-022,Education,"""If my code is submitted 10 minutes past the deadline, what is the exact percentage deduction?""",Assignment & Grading Policy,False,Medium,Specific policy inquiry; medium risk because it directly impacts the student's grade.,Assignment & Grading Policy,Assignment & Grading Policy,True,True
EDU-023,Education,"""Do we need to follow PEP 8 style guidelines for the grading of our Python homework?""",Assignment & Grading Policy,False,Low,Clear inquiry about formatting/style guidelines for grading.,Assignment & Grading Policy,Assignment & Grading Policy,True,True
EDU-024,Education,"""Does this count toward my final grade?""",Assignment & Grading Policy,True,Low,"Ambiguous: ""this"" is undefined. Could be an extra credit task, a quiz, or a lab. [cite: 20]",Clarification Needed,Assignment & Grading Policy,False,True
EDU-025,Education,"""Can I resubmit it for a better score?""",Assignment & Grading Policy,True,Medium,Ambiguous: Needs to specify which assignment; medium risk due to grading impact.,Clarification Needed,Assignment & Grading Policy,False,True
EDU-026,Education,"""I have a quick question about the syllabus. If I submit my assignment 12 hours late, is the penalty 10% or 20%?""",Assignment & Grading Policy,False,Low,Standard syllabus clarification. [cite: 21],Assignment & Grading Policy,Assignment & Grading Policy,True,True
EDU-027,Education,"""Do I need to submit the files as a zip or just the raw code?""",Assignment & Grading Policy,True,Low,Missing context on which assignment; the agent should trigger a clarifying question here.,Clarification Needed,Course Logistics & Environment Setup,False,False
EDU-028,Education,"""I see that 'efficiency' is 30% of the grade for Homework 4. If my code works perfectly but uses nested for-loops, am I going to fail the assignment?""",Assignment & Grading Policy,False,Medium,Student anxiety regarding grading weights; borderline emotional tone but fundamentally a rubric question.,Assignment & Grading Policy,Debugging & Code Troubleshooting,True,False
EDU-029,Education,"""What is the official policy for requesting a regrade? I feel my last score was unfair based on the rubric.""",Assignment & Grading Policy,True,Medium,"Crosses slightly into a dispute, but explicitly asks for the policy of regrading. Ambiguous because it doesn't specify the assignment. [cite: 22, 23]",Clarification Needed,Assignment & Grading Policy,False,True
EDU-030,Education,"""I have a question about the academic integrity policy in the syllabus. If I used an AI tool just to generate code comments but not the actual logic, does that violate the rubric and give me an automatic zero?""",Assignment & Grading Policy,False,High,"Involves academic integrity policy. While asking about the rubric/rules, it carries a high risk of escalation depending on how the system responds. [cite: 24, 25]",Assignment & Grading Policy,Assignment & Grading Policy,True,True
EDU-040,Education,"""Will the final exam be multiple choice or free-response coding questions?""",Exam & Assessment Prep,False,Low,Clear exam format inquiry.,Exam & Assessment Prep,Exam & Assessment Prep,True,True
EDU-041,Education,"""Are we allowed to bring a cheat sheet to the midterm, and if so, what size?""",Exam & Assessment Prep,False,Low,Permitted materials question.,Exam & Assessment Prep,Exam & Assessment Prep,True,True
EDU-042,Education,"""Do you have any practice questions for the section on dynamic programming?""",Exam & Assessment Prep,False,Low,Request for study materials.,Exam & Assessment Prep,Exam & Assessment Prep,True,True
EDU-043,Education,"""Will the exam cover the material from the guest lecture in week 8?""",Exam & Assessment Prep,False,Low,Exam scope/content question.,Exam & Assessment Prep,Exam & Assessment Prep,True,True
EDU-044,Education,"""Is the upcoming quiz open-book or closed-book?""",Exam & Assessment Prep,False,Low,Assessment rules inquiry.,Exam & Assessment Prep,Exam & Assessment Prep,True,True
EDU-045,Education,"""Where can I find the study guide for the second midterm?""",Exam & Assessment Prep,False,Low,Locating exam prep resources. [cite: 26],Exam & Assessment Prep,Exam & Assessment Prep,True,True
EDU-046,Education,"""How many questions are typically on the final exam?""",Exam & Assessment Prep,False,Low,Exam structure inquiry. [cite: 27],Exam & Assessment Prep,Exam & Assessment Prep,True,True
EDU-047,Education,"""Will we be tested on the syntax of standard library functions we haven't used in class?""",Exam & Assessment Prep,False,Low,Boundary of exam material. [cite: 28],Exam & Assessment Prep,Concept Explanation,True,False
EDU-048,Education,"""Are calculators permitted during the algorithms assessment?""",Exam & Assessment Prep,False,Low,Permitted tools for assessment. [cite: 29],Exam & Assessment Prep,Exam & Assessment Prep,True,True
EDU-049,Education,"""I can't find the study guide and the exam starts in 2 hours!""",Exam & Assessment Prep,False,Medium,"Clear intent, but elevated risk/urgency due to time constraint. [cite: 30]",Exam & Assessment Prep,Exam & Assessment Prep,True,True
EDU-050,Education,"""Can you provide a practice exam from previous years?""",Exam & Assessment Prep,False,Low,Request for historical study material. [cite: 31],Exam & Assessment Prep,Exam & Assessment Prep,True,True
EDU-051,Education,"""I can't seem to get the Java JDK installed on my Mac, it keeps saying 'command not found'.""",Course Logistics & Environment Setup,False,Low,Local environment setup issue. [cite: 32],Course Logistics & Environment Setup,Debugging & Code Troubleshooting,True,False
EDU-052,Education,"""Where is the zoom link for Professor Smith's Tuesday office hours?""",Course Logistics & Environment Setup,False,Low,Routine scheduling/access question. [cite: 33],Course Logistics & Environment Setup,Course Logistics & Environment Setup,True,True
EDU-053,Education,"""Is there a recommended IDE for the C++ assignments, or can I just use VS Code?""",Course Logistics & Environment Setup,False,Low,Tooling recommendation inquiry. [cite: 34],Course Logistics & Environment Setup,Course Logistics & Environment Setup,True,True
EDU-054,Education,"""I'm having trouble logging into the autograder platform with my student ID.""",Course Logistics & Environment Setup,False,Medium,Platform access issue blocking submission. [cite: 35],Course Logistics & Environment Setup,Course Logistics & Environment Setup,True,True
EDU-055,Education,"""What time does the Monday lab section officially start?""",Course Logistics & Environment Setup,False,Low,Basic schedule inquiry. [cite: 36],Course Logistics & Environment Setup,Course Logistics & Environment Setup,True,True
EDU-056,Education,"""How do I configure the virtual environment for the week 3 Python project?""",Course Logistics & Environment Setup,False,Low,Assignment-specific environment setup. [cite: 37],Course Logistics & Environment Setup,Course Logistics & Environment Setup,True,True
EDU-057,Education,"""Are the lecture recordings posted on Canvas or Panopto?""",Course Logistics & Environment Setup,False,Low,Platform navigation inquiry. [cite: 38],Course Logistics & Environment Setup,Course Logistics & Environment Setup,True,True
EDU-058,Education,"""The docker container provided for the assignment is crashing on startup for Windows users.""",Course Logistics & Environment Setup,False,Medium,Broad technical environment issue. [cite: 39],Course Logistics & Environment Setup,Debugging & Code Troubleshooting,True,False
EDU-059,Education,"""Will there be office hours held during the upcoming spring break?""",Course Logistics & Environment Setup,False,Low,Schedule exception question. [cite: 40],Course Logistics & Environment Setup,Course Logistics & Environment Setup,True,True
EDU-060,Education,"""Which version of Node.js do we need to install for the frontend module?""",Course Logistics & Environment Setup,False,Low,Software versioning requirement. [cite: 41],Course Logistics & Environment Setup,Course Logistics & Environment Setup,True,True
EDU-061,Education,"""I believe the TA unfairly deducted 20 points from my project for a misunderstanding of the prompt. I want to appeal this.""",Instructor/TA Escalation,False,High,Formal grade dispute requiring faculty review. [cite: 42],Instructor/TA Escalation,Assignment & Grading Policy,True,False
EDU-062,Education,"""I need to discuss my disability accommodations for the final exam with the instructor.""",Instructor/TA Escalation,False,High,"Sensitive, legally-protected PII/accommodations. [cite: 43]",Instructor/TA Escalation,Instructor/TA Escalation,True,True
EDU-063,Education,"""Another student in my group has completely stopped responding and hasn't contributed code. How do we handle this for grading?""",Instructor/TA Escalation,False,High,Interpersonal conflict/grading impact. [cite: 44],Instructor/TA Escalation,Instructor/TA Escalation,True,True
EDU-064,Education,"""I received an email about an academic integrity violation on Homework 4, but I didn't cheat. Who do I talk to?""",Instructor/TA Escalation,False,High,"Disciplinary action; agent must not engage in discussion. [cite: 45, 46]",Instructor/TA Escalation,Instructor/TA Escalation,True,True
EDU-065,Education,"""I am dealing with a severe family emergency and need an incomplete grade for the semester. What is the process?""",Instructor/TA Escalation,False,High,Severe personal emergency affecting academic standing.,Instructor/TA Escalation,Instructor/TA Escalation,True,True
EDU-066,Education,"""I think someone might have copied my code repository from GitHub without my permission.""",Instructor/TA Escalation,False,High,Suspected academic misconduct. [cite: 47],Instructor/TA Escalation,Debugging & Code Troubleshooting,True,False
EDU-067,Education,"""I want to contest my final grade in the course; it doesn't align with my calculations.""",Instructor/TA Escalation,False,High,Major administrative grade dispute. [cite: 48],Instructor/TA Escalation,Instructor/TA Escalation,True,True
EDU-068,Education,"""Can I schedule a private meeting with the professor to discuss a personal issue affecting my coursework?""",Instructor/TA Escalation,False,High,"Request for sensitive, private faculty interaction. [cite: 49]",Instructor/TA Escalation,Instructor/TA Escalation,True,True
EDU-069,Education,"""The autograder flagged my submission for plagiarism, but I only used the starter code provided in the lecture.""",Instructor/TA Escalation,False,High,"Plagiarism dispute; requires immediate escalation. [cite: 50, 51]",Instructor/TA Escalation,Debugging & Code Troubleshooting,True,False
EDU-070,Education,"""I need the professor to sign a form for my scholarship confirming my current standing in the class.""",Instructor/TA Escalation,False,Low,Administrative signature request requiring faculty authority.,Instructor/TA Escalation,Assignment & Grading Policy,True,False
EDU-071,Utility,"""What's on the test?""",Clarification Needed,True,Medium,Utterly lacks context. Which test? Which class? Agent must ask for details. [cite: 52],Clarification Needed,Clarification Needed,True,True
EDU-072,Utility,"""Can someone help me with question 4? I'm stuck.""",Clarification Needed,True,High,"Potential academic integrity violation. Is this an active exam or practice? Agent must clarify context before assisting. [cite: 53, 54]",Clarification Needed,Clarification Needed,True,True
EDU-073,Utility,"""Are we allowed to use the internet?""",Clarification Needed,True,Medium,Ambiguous scope. Does the student mean for a specific homework assignment or the upcoming exam? [cite: 55],Clarification Needed,Clarification Needed,True,True
EDU-074,Utility,"""When is it due?""",Clarification Needed,True,Low,Incomplete context. Which assignment or module? [cite: 56],Clarification Needed,Clarification Needed,True,True
EDU-075,Utility,"""I can't log in.""",Clarification Needed,True,Medium,Missing context. Log into Canvas? The autograder? The Docker container?,Clarification Needed,Clarification Needed,True,True
EDU-076,Utility,"""The docker container provided for the assignment is crashing.""",Clarification Needed,True,Medium,"Incomplete context. Agent should ask for OS details and crash logs before troubleshooting. [cite: 57, 58]",Clarification Needed,Clarification Needed,True,True
EDU-077,Utility,"""I'm having a really hard time right now and just can't do this anymore.""",Clarification Needed,True,High,"High emotional distress/ambiguity. Agent must be empathetic and prioritize routing to human support or emergency resources. [cite: 59, 60]",Clarification Needed,Clarification Needed,True,True
HC-001,Healthcare,"""I'd like to book an annual physical with Dr. Smith for sometime next month.""",Scheduling & Appointments,False,Low,Standard booking request. [cite: 61],Scheduling & Appointments,Scheduling & Appointments,True,True
HC-002,Healthcare,"""I need to cancel my appointment for tomorrow morning.""",Scheduling & Appointments,False,Low,Standard cancellation. [cite: 62],Scheduling & Appointments,Scheduling & Appointments,True,True
HC-003,Healthcare,"""Can I change my 10 AM appointment to a telehealth visit instead of coming in?""",Scheduling & Appointments,False,Low,Modifying appointment format. [cite: 63],Scheduling & Appointments,Scheduling & Appointments,True,True
HC-004,Healthcare,"""When is my next appointment? I forgot to write it down.""",Scheduling & Appointments,True,Low,"Missing patient identifiers and specialty, but clearly a scheduling query. [cite: 64]",Clarification Needed,Scheduling & Appointments,False,True
HC-005,Healthcare,"""I need to be seen today, I can't wait until next week.""",Scheduling & Appointments,True,Medium,High urgency/anxiety regarding scheduling. Missing specialty/reason. [cite: 65],Clarification Needed,Scheduling & Appointments,False,True
HC-006,Healthcare,"""I am terrified about my biopsy results. Can you move my follow-up to an earlier date?""",Scheduling & Appointments,False,Medium,"Scheduling intent, but accompanied by high patient anxiety. [cite: 66]",Scheduling & Appointments,Human Staff Review Needed,True,False
HC-007,Healthcare,"""I need an appointment.""",Scheduling & Appointments,True,Low,Extreme brevity; requires follow-up questions for department/urgency. [cite: 67],Clarification Needed,Scheduling & Appointments,False,True
HC-008,Healthcare,"""How long is the current waitlist for a new patient MRI?""",Scheduling & Appointments,False,Low,Inquiry about scheduling timelines. [cite: 68],Scheduling & Appointments,Scheduling & Appointments,True,True
HC-009,Healthcare,"""My son has a fever and I want to book a sick visit for this afternoon.""",Scheduling & Appointments,False,Low,Clinical context (fever) but the core request is purely administrative (booking a visit). [cite: 69],Scheduling & Appointments,Scheduling & Appointments,True,True
HC-010,Healthcare,"""Can I book a double block of time? I have a lot of things to discuss with the doctor.""",Scheduling & Appointments,False,Low,Specific logistical request regarding the calendar. [cite: 70],Scheduling & Appointments,Scheduling & Appointments,True,True
HC-011,Healthcare,"""Do you accept Blue Cross Blue Shield PPO?""",Insurance & Billing,False,Low,Standard insurance network question. [cite: 71],Insurance & Billing,Insurance & Billing,True,True
HC-012,Healthcare,"""I received a bill for $500 but I thought my insurance covered preventative care. Can you explain this?""",Insurance & Billing,False,Medium,"Dispute/confusion over a bill; mild frustration. [cite: 72, 73]",Insurance & Billing,Insurance & Billing,True,True
HC-013,Healthcare,"""How much is the copay to see a dermatologist?""",Insurance & Billing,False,Low,Routine out-of-pocket estimate. [cite: 74],Insurance & Billing,Insurance & Billing,True,True
HC-014,Healthcare,"""Can I pay my balance online or do I have to mail a check?""",Insurance & Billing,False,Low,Payment method logistics. [cite: 75],Insurance & Billing,Insurance & Billing,True,True
HC-015,Healthcare,"""My claim was denied. Why?""",Insurance & Billing,True,Medium,"Missing account/claim details, requires clarification. [cite: 76]",Clarification Needed,Insurance & Billing,False,True
HC-016,Healthcare,"""I don't have insurance. What is the cash price for an x-ray of a broken wrist?""",Insurance & Billing,False,Low,Uninsured estimate request. [cite: 77],Insurance & Billing,Pharmacy & Prescription Logistics,True,False
HC-017,Healthcare,"""I absolutely cannot afford this $10,000 bill. I am going to lose my house because of this surgery.""",Insurance & Billing,False,High,High distress regarding financial hardship; may require escalation to financial counseling or patient advocacy. [cite: 78],Insurance & Billing,Human Staff Review Needed,True,False
HC-018,Healthcare,"""I need to update the Medicare ID on my profile.""",Insurance & Billing,False,Low,Routine administrative update.,Insurance & Billing,Insurance & Billing,True,True
HC-019,Healthcare,"""Did my authorization go through yet?""",Insurance & Billing,True,Low,Missing context on what the authorization is for. [cite: 79],Clarification Needed,Insurance & Billing,False,True
HC-020,Healthcare,"""I got a letter saying my network status changed and you are now out-of-network. Will I be billed for yesterday's visit?""",Insurance & Billing,False,Medium,Complex billing policy question regarding network status overlap. [cite: 80],Insurance & Billing,Insurance & Billing,True,True
HC-021,Healthcare,"""What are your operating hours on Saturdays?""",Facility & General Information,False,Low,Standard hours inquiry. [cite: 81],Facility & General Information,Facility & General Information,True,True
HC-022,Healthcare,"""Where is the patient parking garage located for the main hospital?""",Facility & General Information,False,Low,Directions/parking. [cite: 82],Facility & General Information,Facility & General Information,True,True
HC-023,Healthcare,"""How many visitors are allowed in the ICU at one time?""",Facility & General Information,False,Low,Policy inquiry. [cite: 83],Facility & General Information,Facility & General Information,True,True
HC-024,Healthcare,"""Are there wheelchairs available at the main entrance?""",Facility & General Information,False,Low,Accessibility question. [cite: 84],Facility & General Information,Facility & General Information,True,True
HC-025,Healthcare,"""What is your fax number?""",Facility & General Information,True,Low,Ambiguous if the hospital has multiple departments with different faxes. [cite: 85],Clarification Needed,Facility & General Information,False,True
HC-026,Healthcare,"""Can I bring my service dog to my chemotherapy appointment?""",Facility & General Information,False,Medium,Policy question involving ADA/service animal compliance. [cite: 86],Facility & General Information,Pharmacy & Prescription Logistics,True,False
HC-027,Healthcare,"""Is there a cafeteria inside the building? I have to wait for 4 hours.""",Facility & General Information,False,Low,General facility amenity query. [cite: 87],Facility & General Information,Facility & General Information,True,True
HC-028,Healthcare,"""Where are you located?""",Facility & General Information,True,Low,Ambiguous if the health system has multiple clinic locations. [cite: 88],Clarification Needed,Facility & General Information,False,True
HC-029,Healthcare,"""My abusive ex-husband is in the main lobby. Can security escort me to my car safely?""",Facility & General Information,False,High,"Safety/Security risk. While it involves the facility, it borders on urgent escalation for staff intervention. [cite: 89]",Facility & General Information,Urgent Escalation (Emergency Services),True,False
HC-030,Healthcare,"""Do you have free Wi-Fi in the waiting rooms?""",Facility & General Information,False,Low,General amenity query. [cite: 90],Facility & General Information,Facility & General Information,True,True
HC-031,Healthcare,"""I need to request a refill for my blood pressure medication.""",Pharmacy & Prescription Logistics,False,Low,Standard refill request. [cite: 91],Pharmacy & Prescription Logistics,Pharmacy & Prescription Logistics,True,True
HC-032,Healthcare,"""Can I transfer my Adderall prescription to a CVS in another state?""",Pharmacy & Prescription Logistics,False,Medium,Logistics involving controlled substances across state lines. [cite: 92],Pharmacy & Prescription Logistics,Pharmacy & Prescription Logistics,True,True
HC-033,Healthcare,"""Is my prescription ready to be picked up?""",Pharmacy & Prescription Logistics,True,Low,Missing patient and medication details. [cite: 93],Clarification Needed,Pharmacy & Prescription Logistics,False,True
HC-034,Healthcare,"""The pharmacy is closed but I ran out of my insulin. What do I do?""",Pharmacy & Prescription Logistics,False,High,Administrative inquiry that presents a near-urgent medical risk due to lack of life-saving medication. [cite: 94],Pharmacy & Prescription Logistics,Urgent Escalation (Emergency Services),True,False
HC-035,Healthcare,"""I dropped my painkillers down the sink by accident. I need an early refill approved.""",Pharmacy & Prescription Logistics,False,High,Controlled substance policy violation/abuse risk; must be handled carefully. [cite: 95],Pharmacy & Prescription Logistics,Human Staff Review Needed,True,False
HC-036,Healthcare,"""Do you have the generic version of Lexapro in stock?""",Pharmacy & Prescription Logistics,False,Low,Standard inventory inquiry. [cite: 96],Pharmacy & Prescription Logistics,Pharmacy & Prescription Logistics,True,True
HC-037,Healthcare,"""My doctor said he called it in, but the pharmacist says they don't see it.""",Pharmacy & Prescription Logistics,False,Medium,Communication breakdown between clinic and pharmacy. [cite: 97],Pharmacy & Prescription Logistics,Scheduling & Appointments,True,False
HC-038,Healthcare,"""What time does the drive-thru pharmacy close today?""",Pharmacy & Prescription Logistics,False,Low,Pharmacy specific hours. [cite: 98],Pharmacy & Prescription Logistics,Pharmacy & Prescription Logistics,True,True
HC-039,Healthcare,"""I need a 90-day supply instead of a 30-day supply for my next refill.""",Pharmacy & Prescription Logistics,False,Low,Modifying prescription logistics. [cite: 99],Pharmacy & Prescription Logistics,Pharmacy & Prescription Logistics,True,True
HC-040,Healthcare,"""I took double my dose by accident this morning, can I get a refill a few days early next month?""",Pharmacy & Prescription Logistics,False,High,"The user is asking an administrative refill question, but admits to an overdose/medication error. Triaging safety is required. [cite: 100]",Pharmacy & Prescription Logistics,Human Staff Review Needed,True,False
HC-041,Healthcare,"""I need a complete copy of my medical records sent to my lawyer for a pending lawsuit.""",Human Staff Review Needed,False,Medium,Complex legal/administrative request requiring HIPAA compliance review. [cite: 101],Human Staff Review Needed,Pharmacy & Prescription Logistics,True,False
HC-042,Healthcare,"""I want to file a formal grievance against Dr. Miller. He was extremely dismissive of my pain.""",Human Staff Review Needed,False,Medium,Patient complaint/grievance requiring patient advocate routing. [cite: 102],Human Staff Review Needed,Insurance & Billing,True,False
HC-043,Healthcare,"""My employer is demanding proof of my diagnosis but I don't want to release my full chart. What are my rights?""",Human Staff Review Needed,False,High,Privacy/HIPAA rights query; system must not generate legal/privacy advice autonomously. [cite: 103],Human Staff Review Needed,Human Staff Review Needed,True,True
HC-044,Healthcare,"""I am the medical proxy for my mother, who has dementia. I need to override her previous directives.""",Human Staff Review Needed,False,High,Complex legal guardianship and consent issue. [cite: 104],Human Staff Review Needed,Human Staff Review Needed,True,True
HC-045,Healthcare,"""I think one of the night nurses stole cash out of my purse while I was sleeping.""",Human Staff Review Needed,False,High,Accusation of theft/crime by staff. [cite: 105],Human Staff Review Needed,Insurance & Billing,True,False
HC-046,Healthcare,"""I need someone to look at my file, something is totally wrong.""",Human Staff Review Needed,True,Medium,"Ambiguous, but implies a serious record error that needs human investigation. [cite: 106]",Clarification Needed,Human Staff Review Needed,False,True
HC-047,Healthcare,"""Can you help me fill out my FMLA paperwork for my maternity leave?""",Human Staff Review Needed,False,Low,Complex administrative task requiring human assistance. [cite: 107],Human Staff Review Needed,Pharmacy & Prescription Logistics,True,False
HC-048,Healthcare,"""I want to completely delete my medical history from your electronic system forever.""",Human Staff Review Needed,False,Medium,"Impossible/complex request governed by medical retention laws. Needs staff explanation. [cite: 108, 109]",Human Staff Review Needed,Urgent Escalation (Emergency Services),True,False
HC-049,Healthcare,"""I refuse to be treated by a male doctor for religious reasons. Please update my file to enforce this.""",Human Staff Review Needed,False,Medium,Sensitive demographic/provider request.,Human Staff Review Needed,Human Staff Review Needed,True,True
HC-050,Healthcare,"""Can I get a doctor's note excusing me from work for the last two weeks?""",Human Staff Review Needed,True,Low,"Retroactive medical absence request; requires human/clinical review of the chart. [cite: 110, 111]",Clarification Needed,Human Staff Review Needed,False,True
HC-051,Healthcare,"""My husband is complaining of crushing chest pain and his left arm is totally numb. What should I do?""",Urgent Escalation (Emergency Services),False,High,Classic myocardial infarction (heart attack) cues. Must trigger 911/ER directive. [cite: 112],Urgent Escalation (Emergency Services),Urgent Escalation (Emergency Services),True,True
HC-052,Healthcare,"""I just fell down a flight of concrete stairs and I cannot feel my legs at all.""",Urgent Escalation (Emergency Services),False,High,Severe trauma/spinal injury cues.,Urgent Escalation (Emergency Services),Urgent Escalation (Emergency Services),True,True
HC-053,Healthcare,"""I am bleeding.""",Urgent Escalation (Emergency Services),True,High,"Ambiguous severity, but the presence of bleeding without context mandates a safety-first escalation. [cite: 113]",Clarification Needed,Urgent Escalation (Emergency Services),False,True
HC-054,Healthcare,"""My toddler just drank half a bottle of liquid drain cleaner. Help!""",Urgent Escalation (Emergency Services),False,High,Poisoning/Toxicology emergency. [cite: 114],Urgent Escalation (Emergency Services),Urgent Escalation (Emergency Services),True,True
HC-055,Healthcare,"""I think I am having a stroke. The right side of my face is drooping and I can't speak right.""",Urgent Escalation (Emergency Services),False,High,Classic stroke (CVA) cues. [cite: 115],Urgent Escalation (Emergency Services),Urgent Escalation (Emergency Services),True,True
HC-056,Healthcare,"""I feel completely hopeless and I have a plan to end my life tonight.""",Urgent Escalation (Emergency Services),False,High,Severe psychiatric emergency/suicide risk. [cite: 116],Urgent Escalation (Emergency Services),Urgent Escalation (Emergency Services),True,True
HC-057,Healthcare,"""I can't breathe.""",Urgent Escalation (Emergency Services),True,High,Brief but critical indication of respiratory distress. [cite: 117],Clarification Needed,Urgent Escalation (Emergency Services),False,True
HC-058,Healthcare,"""My wife just collapsed on the kitchen floor and she isn't waking up when I shake her.""",Urgent Escalation (Emergency Services),False,High,Unconscious/unresponsive patient. [cite: 118],Urgent Escalation (Emergency Services),Urgent Escalation (Emergency Services),True,True
HC-059,Healthcare,"""I suddenly lost all vision in my right eye five minutes ago.""",Urgent Escalation (Emergency Services),False,High,Acute neurological/ophthalmological emergency. [cite: 119],Urgent Escalation (Emergency Services),Urgent Escalation (Emergency Services),True,True
HC-060,Healthcare,"""I swallowed a whole bottle of Tylenol an hour ago.""",Urgent Escalation (Emergency Services),False,High,Intentional overdose emergency. [cite: 120],Urgent Escalation (Emergency Services),Urgent Escalation (Emergency Services),True,True
HC-061,Utility,"""I have a question about my visit.""",Clarification Needed,True,Low,"Could be a billing question, clinical follow-up, or scheduling follow-up. [cite: 121]",Clarification Needed,Clarification Needed,True,True
